dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,study_name,study_context
lol_v1,LOL-v1,,detail,trial_0011,42,40,35,5,40,120,536463,f2f13b42498a9bac218f72909fb8fb7259ec77743db7a38171ec3b2ba821b61d,542.1575174331665,2026-08-10T08:26:23,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.1399999999999999,0.14,0.0,0.05,0.006,39,39,1.5485015908877056,0.103238546832775,256,21.488359997536595,0.8558845358590285,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0006,42,40,35,5,40,120,536463,4b66e45e807d2a966c8001630a3b9a9677204959a1fc6498c25303b706d3ea54,541.7038280963898,2026-08-10T07:41:10,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.1399999999999999,0.12,0.0,0.05,0.007,39,39,1.548097550868988,0.1036670655400181,256,21.48570232958691,0.8555439996222655,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0012,42,40,35,5,40,120,536463,77033de945e4b3524210ba80c21f108bf782ca0256fc9dd7429a798ad0a8c643,542.5123183727264,2026-08-10T08:35:27,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.12,0.14,0.01,0.05,0.005,39,39,1.5490081459283829,0.1033031727032115,256,21.480609752542858,0.855770101149877,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0013,42,40,35,5,40,120,536463,0531ad2f269050dd0b629c08dbdc91515b64168b153c72fa774a8e77cd49b7f7,541.768631696701,2026-08-10T08:44:29,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112025,1.4628463833389233e-05,3.0,1.8,0.5,0.1,0.13999999999999999,0.06,0.01,0.04,0.010000000000000002,39,39,1.5479085594415665,0.10314841537425916,256,21.480375597479185,0.8558127594490846,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0005,42,40,35,5,40,120,536463,1129c1327bb12cbaa878bead07971a90d0047fedfa4af400fdd50682cbe97b68,542.4169814586639,2026-08-10T07:32:07,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.1399999999999999,0.04,0.0,0.05,0.012,39,39,1.5475688502192495,0.1025832939582566,256,21.4779485242987,0.8557823027173678,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0007,42,40,35,5,40,120,536463,1129c1327bb12cbaa878bead07971a90d0047fedfa4af400fdd50682cbe97b68,541.0285973548889,2026-08-10T07:50:12,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.1399999999999999,0.04,0.0,0.05,0.012,39,39,1.5474389766653378,0.1026470614597201,256,21.473822270950688,0.8557704264918963,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0010,42,40,35,5,40,120,536463,ba360da5dfe43760533df55d3dd3be71f1c3defbf8c751f2a614468e4ebafb0a,542.2722270488739,2026-08-10T08:17:20,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.1,0.08,0.08,0.0,0.001,39,39,1.5497200960914297,0.1030446842002372,256,21.47166216250432,0.8556986898183823,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0002,42,40,35,5,40,120,536463,e92ddf9a4800fdb5ef4b387c39bcd2017b43b6d597f3f4412678682d5d22635e,542.4054231643677,2026-08-10T07:04:58,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.04,0.04,0.07,0.03,0.009,39,39,1.5511735702554386,0.1028409933981796,256,21.46774166821368,0.8556218507389227,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0001,42,40,35,5,40,120,536463,95f28fbe06e19d90a10ab0faaecdbd0ee1a4a9fd076c1046560a3e0a7a1817e3,542.1777074337006,2026-08-10T06:55:55,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.06,0.18,0.06,0.03,0.002,39,39,1.5523170431454976,0.103693742537871,256,21.460111106618218,0.8554899878799915,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0009,42,40,35,5,40,120,536463,adfa96ec97fafcfebd7737beb8f37f33e3b62569d79d4b6b98585f2a018041fd,542.4376082420349,2026-08-10T08:08:17,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.1,0.08,0.02,0.04,0.009,39,39,1.5497273777921994,0.103133068109552,256,21.45999209510119,0.8555763500432173,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0008,42,40,35,5,40,120,536463,8324f0eb4600db7c9714f3e0555978b576c49d281af621b898a2e91932a03a39,541.3394267559052,2026-08-10T07:59:14,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.1,0.12,0.03,0.0,0.007,39,39,1.550333579381307,0.1035019865181918,256,21.45547887928392,0.8555600258211294,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0000,42,40,35,5,40,120,536463,6ac74a20f0a42dea3efa2c00df0974c8155d1e315d76f17ab80b3bb70a29733b,542.2416837215424,2026-08-10T06:46:52,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.06,0.12,0.04,0.01,0.012,39,39,1.5518042122324307,0.1036250964971259,256,21.449655543547674,0.8554290408889452,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0003,42,40,35,5,40,120,536463,9ecc4b3c6eacf4e0c3695e05b4a27a07303cb96dc78c2da27b80b58b902cd147,542.6651947498322,2026-08-10T07:14:01,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.02,0.18,0.07,0.01,0.003,39,39,1.5536715338627498,0.1038495341005424,256,21.44811202940117,0.8552816621959209,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
lol_v1,LOL-v1,,detail,trial_0004,42,40,35,5,40,120,536463,7cca1791aa6892055f883154e196067a54e568cf80ce47cceeda82da084fec05,541.5557310581207,2026-08-10T07:23:04,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.04,0.08,0.04,0.02,0.004,39,39,1.552180998027325,0.1033487259410321,256,21.43763142533092,0.8553388342261314,48,retinextapetum_lol_v1_detail_7a86ca443e,7a86ca443e
