dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,study_name,study_context
lol_v1,LOL-v1,,fidelity,trial_0011,42,35,30,5,35,120,536463,bd3e8c3d103ce0b1b253bd8c3348803cb205413684958fca41d8430777ccca87,541.7916796207428,2026-08-10T06:37:48,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112025,1.4628463833389233e-05,3.0,1.8,0.75,0.02,0.06,0.12,0.04,0.01,0.012,34,34,1.5445388853549957,0.10930568550247699,256,21.447814939211003,0.8540091551840305,48,retinextapetum_lol_v1_fidelity_5a11f67693,5a11f67693
lol_v1,LOL-v1,,fidelity,trial_0005,42,35,30,5,35,120,536463,bd3e8c3d103ce0b1b253bd8c3348803cb205413684958fca41d8430777ccca87,542.2932548522949,2026-08-10T05:43:31,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.75,0.02,0.06,0.12,0.04,0.01,0.012,34,34,1.5447942515214284,0.1093667668756097,256,21.445872431821964,0.8540106428166231,48,retinextapetum_lol_v1_fidelity_5a11f67693,5a11f67693
lol_v1,LOL-v1,,fidelity,trial_0006,42,35,30,5,35,120,536463,416fc1264a0be13261e1a394a59d636a442855526160f4d82be1e76b64bdde73,541.722216129303,2026-08-10T05:52:33,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.75,0.06,0.06,0.12,0.04,0.01,0.012,34,34,1.5454578871528308,0.1087571592070162,256,21.43643535289119,0.8540273755788803,48,retinextapetum_lol_v1_fidelity_5a11f67693,5a11f67693
lol_v1,LOL-v1,,fidelity,trial_0002,42,35,30,5,35,120,536463,0cec9f2c8b6b1eb58daec4fd8f533e4c2fcda3eab3cdc9829b58c210c16c7c7b,542.2169759273529,2026-08-10T05:16:21,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.65,0.08,0.06,0.12,0.04,0.01,0.012,34,34,1.5473878756165504,0.108070646218645,256,21.42913082125278,0.8537943164507548,48,retinextapetum_lol_v1_fidelity_5a11f67693,5a11f67693
lol_v1,LOL-v1,,fidelity,trial_0008,42,35,30,5,35,120,536463,fe090aa03e1f3724b5c7c46dca7f413f9913cfbbe1987b7762caad72f8e92151,542.6500377655029,2026-08-10T06:10:40,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.55,0.05,0.06,0.12,0.04,0.01,0.012,34,34,1.5493183980385463,0.1082398026095082,256,21.42624851091878,0.8534265831112862,48,retinextapetum_lol_v1_fidelity_5a11f67693,5a11f67693
lol_v1,LOL-v1,,fidelity,trial_0003,42,35,30,5,35,120,536463,d037b9976a9f3d8e3d58976034aacdf5a3f3ecb95a63506675fffc5ec67abcd9,542.1022427082062,2026-08-10T05:25:24,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.35,0.03,0.06,0.12,0.04,0.01,0.012,34,34,1.5515589987238247,0.1092976680180678,256,21.41709990788225,0.852755901714166,48,retinextapetum_lol_v1_fidelity_5a11f67693,5a11f67693
lol_v1,LOL-v1,,fidelity,trial_0007,42,35,30,5,35,120,536463,24968d642feaf285a0f49238cb02be6e1ee0b3c03e19042d78987f951128465a,542.5356137752533,2026-08-10T06:01:37,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.55,0.08,0.06,0.12,0.04,0.01,0.012,34,34,1.550029754638672,0.1076990439711759,256,21.409198405459392,0.8533521518111229,48,retinextapetum_lol_v1_fidelity_5a11f67693,5a11f67693
lol_v1,LOL-v1,,fidelity,trial_0001,42,35,30,5,35,120,536463,73aef3c09b25d38d6086059c8c02487ecfea8daba57d20fa9755065779cb3dc7,542.4472839832306,2026-08-10T05:07:18,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.45,0.12,0.06,0.12,0.04,0.01,0.012,34,34,1.5515079498291016,0.1078796733636409,256,21.407997152155,0.853017279257377,48,retinextapetum_lol_v1_fidelity_5a11f67693,5a11f67693
lol_v1,LOL-v1,,fidelity,trial_0009,42,35,30,5,35,120,536463,a8f32e4802512079d492704be56f6107310da50b391c9c520037725d4c732724,541.8703720569611,2026-08-10T06:19:43,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.55,0.09,0.06,0.12,0.04,0.01,0.012,34,34,1.5498108516136806,0.1076786761016895,256,21.4079320076684,0.853345567981402,48,retinextapetum_lol_v1_fidelity_5a11f67693,5a11f67693
lol_v1,LOL-v1,,fidelity,trial_0010,42,35,30,5,35,120,536463,020831b0d8aecc6b609ab18c3c04244906a2de81f732553af56b0c534dd2d12e,541.9674534797668,2026-08-10T06:28:45,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.8,0.5,0.1,0.06,0.12,0.04,0.01,0.012,34,34,1.5505404348174732,0.1075437365798279,256,21.403608979216035,0.8531284493704637,48,retinextapetum_lol_v1_fidelity_5a11f67693,5a11f67693
