dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,study_name,study_context
lol_v2_real,LOL-v2,Real_captured,detail,trial_0010,42,40,35,5,40,120,536463,2f8c275775e6cab051baab9949ab9d554073ab47e6807efe5fabfcf50dd9e847,766.4423937797546,2026-08-10T08:10:20,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.08,0.08,0.03,0.0,0.009,40,40,1.7244144159814585,0.1266369313757488,256,21.087010953942578,0.8181984346845875,69,retinextapetum_lol_v2_real_detail_2570a3613f,2570a3613f
lol_v2_real,LOL-v2,Real_captured,detail,trial_0004,42,40,35,5,40,120,536463,fe7f34fd9fe3e67ca96ccfa7fccbb0bed7e5040073570722d20a3000731b5abe,766.4820127487183,2026-08-10T06:53:34,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.04,0.08,0.04,0.02,0.004,40,40,1.722110174704289,0.1268655361364717,256,21.07891327519083,0.8170124275096948,69,retinextapetum_lol_v2_real_detail_2570a3613f,2570a3613f
lol_v2_real,LOL-v2,Real_captured,detail,trial_0008,42,40,35,5,40,120,536463,c978f8d4878e59369a04aa23e4568bc076088ff320195b9023826cce5102c452,766.9485454559326,2026-08-10T07:44:46,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.04,0.03,0.0,0.011,40,40,1.727339656456657,0.1258053291535032,256,21.075677031158698,0.8192317684491476,69,retinextapetum_lol_v2_real_detail_2570a3613f,2570a3613f
lol_v2_real,LOL-v2,Real_captured,detail,trial_0012,42,40,35,5,40,120,536463,41e4ae2f68d3cf4ce6c14ae6f8fd1ba27895d2d76290d74b509a35fab79d7322,763.8510708808899,2026-08-10T08:35:49,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.14,0.02,0.01,0.01,40,40,1.7254660077716992,0.1256978752064532,256,21.073581982580443,0.817534564629845,69,retinextapetum_lol_v2_real_detail_2570a3613f,2570a3613f
lol_v2_real,LOL-v2,Real_captured,detail,trial_0011,42,40,35,5,40,120,536463,18232cd87d6986cd7323a404a3965bb1596246304aed306f8623ea0c263b95f6,763.979008436203,2026-08-10T08:23:05,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.08,0.06,0.01,0.004,40,40,1.7237910308699678,0.1260682334718497,256,21.06721202083985,0.8175347982973292,69,retinextapetum_lol_v2_real_detail_2570a3613f,2570a3613f
lol_v2_real,LOL-v2,Real_captured,detail,trial_0007,42,40,35,5,40,120,536463,f3d7fda4b81e120306f7f1036268342b685cee364c00733f4303d7d0bae8d7d8,768.0380997657776,2026-08-10T07:31:58,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.1,0.14,0.08,0.05,0.007,40,40,1.7226569963538128,0.1262864933713622,256,21.06666168241613,0.8176500499248505,69,retinextapetum_lol_v2_real_detail_2570a3613f,2570a3613f
lol_v2_real,LOL-v2,Real_captured,detail,trial_0013,42,40,35,5,40,120,536463,5dec49217b11e3bb3dfe6ebff81fa65f61a5b1487a1098f4287991d77a25fbdc,766.4837701320648,2026-08-10T08:48:37,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705852,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.06,0.05,0.0,0.006,40,40,1.7248436316199924,0.12601278905851254,256,21.054582090143885,0.8174216449260712,69,retinextapetum_lol_v2_real_detail_2570a3613f,2570a3613f
lol_v2_real,LOL-v2,Real_captured,detail,trial_0003,42,40,35,5,40,120,536463,8187d2e677eace8a1729e08044d57f93d25060315b68e17947c42e72f3a4982b,765.9872498512268,2026-08-10T06:40:47,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.02,0.18,0.07,0.01,0.003,40,40,1.7285187728163125,0.125543948424899,256,21.047957861079087,0.8174224638420603,69,retinextapetum_lol_v2_real_detail_2570a3613f,2570a3613f
lol_v2_real,LOL-v2,Real_captured,detail,trial_0001,42,40,35,5,40,120,536463,42a8d46fd534c90667766ad6fc9e40c8a33b9f37b8722f6a6bdb7e9bac1fb565,767.3318066596985,2026-08-10T06:15:11,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.06,0.18,0.06,0.03,0.002,40,40,1.7229498970335808,0.125700495597245,256,21.044330905837143,0.8160763305166493,69,retinextapetum_lol_v2_real_detail_2570a3613f,2570a3613f
lol_v2_real,LOL-v2,Real_captured,detail,trial_0002,42,40,35,5,40,120,536463,8d8b3ecaf6049b971071d340039ab3ce34fff94267f5b461f7a8df598971dd4e,767.6829695701599,2026-08-10T06:28:00,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,2.0,0.45,0.12,0.04,0.04,0.07,0.03,0.009,40,40,1.72364376247793,0.1261119539107101,256,21.039353710579867,0.8170836308728093,69,retinextapetum_lol_v2_real_detail_2570a3613f,2570a3613f
