dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,study_name,study_context
lol_v2_real,LOL-v2,Real_captured,optimizer,trial_0006,42,25,0,25,25,120,536463,59556f24c153ba226b7a814feed20d116b2effb6191ae9bbb78bef5c8402e846,3815.399028301239,2026-08-09T20:59:18,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006620890956705,4.082960740748955e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,23,23,1.122978284739066,0.1665063256370848,256,20.419584544530977,0.7984116958535236,69,retinextapetum_lol_v2_real_optimizer_e5498956c2,e5498956c2
lol_v2_real,LOL-v2,Real_captured,optimizer,trial_0007,42,25,0,25,25,120,536463,88839a7e2307748f36f4f87663b19d5c5fcef68d39575453c21f7f69aabe4cd8,3714.532476186752,2026-08-09T22:01:14,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006244175698085,4.486762194000424e-05,5.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,23,23,1.1221137046813965,0.1851245948801869,256,20.35824191202041,0.7893484675365946,69,retinextapetum_lol_v2_real_optimizer_e5498956c2,e5498956c2
lol_v2_real,LOL-v2,Real_captured,optimizer,trial_0009,42,25,0,25,25,120,536463,f24eaab0b20d693cc3a8633dea93465d5db5f6cfdbafd1932cbaf2a227a80b37,3710.335874080658,2026-08-10T00:05:44,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006906348306112,1.4628463833389231e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,1.108846396639727,0.1853756371183672,256,20.30364729105252,0.7847067571204641,69,retinextapetum_lol_v2_real_optimizer_e5498956c2,e5498956c2
lol_v2_real,LOL-v2,Real_captured,optimizer,trial_0000,42,25,0,25,25,120,536463,ecf74096af40268b5427e337df17a85784f27c252f314bef12b5989819465063,3821.3874299526215,2026-08-09T07:54:07,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,23,23,1.1282051818958228,0.200778955998628,256,20.03773717297051,0.7835272360539091,69,retinextapetum_lol_v2_real_optimizer_e5498956c2,e5498956c2
lol_v2_real,LOL-v2,Real_captured,optimizer,trial_0010,42,25,0,25,25,120,536463,39d8c5111c47fc17d1c6469151f9db938d464e63675f6e08c6a4847034f31b66,3755.7149534225464,2026-08-10T01:08:21,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0003949766626764451,3.4932334230868815e-05,5.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,23,23,1.1235539481259775,0.2173505787184273,256,20.013302826108845,0.7746245152708413,69,retinextapetum_lol_v2_real_optimizer_e5498956c2,e5498956c2
lol_v2_real,LOL-v2,Real_captured,optimizer,trial_0008,42,25,0,25,25,120,536463,68f7f98e19b73143b68903a529911d342ae4e0baa8bead5cd48e058176c79b43,3758.8104689121246,2026-08-09T23:03:53,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0003177730159063,2.29832468483956e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,1.1175470421279683,0.2533384899514309,256,19.53617668216401,0.7477220504180245,69,retinextapetum_lol_v2_real_optimizer_e5498956c2,e5498956c2
lol_v2_real,LOL-v2,Real_captured,optimizer,trial_0004,42,25,0,25,25,120,536463,7a7d15e8730e2b48be053a5837aba559e6614a6f58c87ada56f3e4e4cadff32f,3863.187162876129,2026-08-09T12:11:44,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0001658264640284,6.122297612917208e-06,1.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,23,23,1.121131128159122,0.2894383770400199,256,19.402566409916275,0.7254331401292828,69,retinextapetum_lol_v2_real_optimizer_e5498956c2,e5498956c2
lol_v2_real,LOL-v2,Real_captured,optimizer,trial_0001,42,25,0,25,25,120,536463,e7c04e25a36b9e62471fe09624e3e81921c9fee22ed874b936abdcf4de44a77a,3860.434959888458,2026-08-09T08:58:28,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0002322992529125,3.155085050380966e-05,1.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,23,23,1.1287729480992192,0.2650065226615339,256,19.39998273491617,0.7401867344759513,69,retinextapetum_lol_v2_real_optimizer_e5498956c2,e5498956c2
lol_v2_real,LOL-v2,Real_captured,optimizer,trial_0002,42,25,0,25,25,120,536463,7681392cf72005322610c1bf2fe0466b8ce423968008a9db2ac16449ed361971,3861.526134967804,2026-08-09T10:02:50,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0001580010848752,3.552358465843492e-06,1.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,23,23,1.121494163637576,0.2899384754507438,256,19.38635734719361,0.7247932523057081,69,retinextapetum_lol_v2_real_optimizer_e5498956c2,e5498956c2
lol_v2_real,LOL-v2,Real_captured,optimizer,trial_0003,42,25,0,25,25,120,536463,48086a81cd9c4cc337f18381366df2c2ed7c4b9cdb838cc5d12563fb20a7fc4b,3868.7219471931458,2026-08-09T11:07:20,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0001244363477483,1.7567412221783577e-05,1.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,23,23,1.1200160375539807,0.2978301876481029,256,19.287837883843466,0.7215607814166857,69,retinextapetum_lol_v2_real_optimizer_e5498956c2,e5498956c2
