dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,study_name,study_context
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0007,42,35,30,5,35,120,536463,9fd4a941806db61a53739de9a01a63f30c772510190d3a70d825c4c9115c1f6b,936.6974308490752,2026-08-10T14:08:41,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.1399999999999999,0.12,0.0,0.05,0.007,32,32,0.8195610668924119,0.0565494884219434,256,23.18515324769948,0.916875856452518,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0011,42,35,30,5,35,120,536463,b2491b2b6e2dea4f912f9d1f06e7ddec101f4695e4273609c72a9f0cf7ea2dd3,936.9405918121338,2026-08-10T15:11:10,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.1399999999999999,0.14,0.0,0.05,0.007,32,32,0.8193446677592066,0.056660438918819,256,23.16299710149753,0.9167698158158196,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0006,42,35,30,5,35,120,536463,9fd4a941806db61a53739de9a01a63f30c772510190d3a70d825c4c9115c1f6b,935.2028489112854,2026-08-10T13:53:04,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.1399999999999999,0.12,0.0,0.05,0.007,32,32,0.8195138151446978,0.0568507153644329,256,23.16066955140576,0.91672716471884,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0009,42,35,30,5,35,120,536463,99521831b7592fb7b5b3b72a09990ec69b86f29f415bc15b56a66cbea62586d7,935.7144837379456,2026-08-10T14:39:55,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.1,0.04,0.02,0.04,0.012,32,32,0.8183897270096673,0.0575817280500713,256,23.14354072513724,0.9166019996007284,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0008,42,35,30,5,35,120,536463,e0a66b590598f9eeb513159353437e2cbd4b6cfc38885234bc7427724333df6a,936.6918001174928,2026-08-10T14:24:19,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.1,0.12,0.03,0.0,0.006,32,32,0.8192719240983327,0.0574408996436331,256,23.1222390186052,0.9163248353534276,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0013,42,35,30,5,35,120,536463,f2af8abd5a48054548d7a912df8b507551b1fb4210f45994a3d336c0bf30f31c,936.5667443275452,2026-08-10T15:42:26,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271401,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.13999999999999999,0.08,0.01,0.05,0.009000000000000001,32,32,0.8195900013049443,0.05746313997337388,256,23.12102111832089,0.9161985735098521,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0012,42,35,30,5,35,120,536463,278389d1c143c2c433007e4ea0d9d30856f8fd3a1650b46e4d726418ecdee0fe,937.3201258182526,2026-08-10T15:26:48,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.12,0.14,0.01,0.04,0.006,32,32,0.8195801759759586,0.0570201594848185,256,23.114853628077235,0.9164427763885922,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0000,42,35,30,5,35,120,536463,dc61c5eec485677d97abfe6a6a32cf73e63519f4b2814f069c3ea7423b960b07,938.6972906589508,2026-08-10T12:19:23,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.06,0.12,0.04,0.01,0.012,32,32,0.8198754111925761,0.0577759378072288,256,23.11194941371364,0.9164118111133576,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0001,42,35,30,5,35,120,536463,c89b91dd7e3f33f34d9976cd85a3a757aab1aa55b7f6f11898ba336ca792d81d,938.1820652484894,2026-08-10T12:35:02,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.06,0.18,0.06,0.03,0.002,32,32,0.8187067301736938,0.0572426459027661,256,23.10622821203233,0.9165186676714157,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0002,42,35,30,5,35,120,536463,ddf3a1f9f4fa6c163cf201f3937731b70c95639c56ea0e99bdca6d01a4726e93,935.4583790302275,2026-08-10T12:50:38,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.04,0.04,0.07,0.03,0.009,32,32,0.8198412249485652,0.057872771916704,256,23.10230248532629,0.9163739191161262,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0005,42,35,30,5,35,120,536463,0da3df2dde2ebfdf5da55450c58d5ece235491dd0292679d4e17836b2e679a86,935.8147656917572,2026-08-10T13:37:28,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.1399999999999999,0.18,0.0,0.05,0.001,32,32,0.8185239247149891,0.0570275759634872,256,23.095859570243142,0.9164224770334032,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0010,42,35,30,5,35,120,536463,5c931dd58ad962aef282413ca2fe1e3f740c4a52ede91acb220e8949b3217ccc,935.8566110134124,2026-08-10T14:55:32,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.1,0.08,0.08,0.0,0.009,32,32,0.8186977581845389,0.0574644871573481,256,23.09577775118972,0.9162481685479482,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0004,42,35,30,5,35,120,536463,4b88c5ccda6bc20108b86490f49c6bd5afd39f1ed72ca873618bc61851dd03b2,934.945208787918,2026-08-10T13:21:51,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.04,0.08,0.04,0.02,0.004,32,32,0.8201409379641215,0.0575421033013198,256,23.09059062059644,0.9162787357966106,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
lol_v2_synthetic,LOL-v2,Synthetic,detail,trial_0003,42,35,30,5,35,120,536463,48457ce14d5ced217be1f824fdfac5f8fd9244cdcaf3c34da25b249f03c17dee,936.408341407776,2026-08-10T13:06:15,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.65,0.08,0.02,0.18,0.07,0.01,0.003,32,32,0.819160195853975,0.057499828789797,256,23.050602448666403,0.9162393126222822,90,retinextapetum_lol_v2_synthetic_detail_bc39dfe3ae,bc39dfe3ae
