dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,study_name,study_context
lol_v2_synthetic,LOL-v2,Synthetic,illumination,trial_0009,42,25,20,5,25,120,536463,c09f5ad35adb96a7180032bc03884435d29e1eec9037f88b9f1711477a14b163,937.6173696517944,2026-08-10T08:56:04,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271401,5.0237973942179794e-05,8.0,1.7,0.35,0.08,0.06,0.12,0.04,0.01,0.012,25,25,1.0340692861212624,0.06634852393633789,256,22.71197102769914,0.909867078728146,90,retinextapetum_lol_v2_synthetic_illumination_78465ecd9c,78465ecd9c
lol_v2_synthetic,LOL-v2,Synthetic,illumination,trial_0002,42,25,20,5,25,120,536463,c09f5ad35adb96a7180032bc03884435d29e1eec9037f88b9f1711477a14b163,941.6250698566436,2026-08-10T07:06:33,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.7,0.35,0.08,0.06,0.12,0.04,0.01,0.012,22,22,1.053635448714097,0.066414900838087,256,22.667291301039715,0.9087645888328552,90,retinextapetum_lol_v2_synthetic_illumination_78465ecd9c,78465ecd9c
lol_v2_synthetic,LOL-v2,Synthetic,illumination,trial_0004,42,25,20,5,25,120,536463,44df7a5f28f8bafeb96cbbfbd1808a6afae02bd396ca86e10057864de518abfd,938.831793308258,2026-08-10T07:37:55,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.4500000000000002,0.35,0.08,0.06,0.12,0.04,0.01,0.012,22,22,0.9103646198908488,0.0659864580776128,256,22.61254923274582,0.9082636488808526,90,retinextapetum_lol_v2_synthetic_illumination_78465ecd9c,78465ecd9c
lol_v2_synthetic,LOL-v2,Synthetic,illumination,trial_0003,42,25,20,5,25,120,536463,47a31e0464420852e1592a8b849dfee24e6a3d2c6945b253bec46bf4fe3557d4,940.6498792171478,2026-08-10T07:22:15,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.55,0.35,0.08,0.06,0.12,0.04,0.01,0.012,22,22,0.9675923155413734,0.0673266935058766,256,22.601808973325028,0.9079918523629508,90,retinextapetum_lol_v2_synthetic_illumination_78465ecd9c,78465ecd9c
lol_v2_synthetic,LOL-v2,Synthetic,illumination,trial_0001,42,25,20,5,25,120,536463,98674a78617db2e0839d2c9b291c444a19ea84dece6a383371911dbc8876624d,940.8979325294496,2026-08-10T06:50:51,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.3,0.35,0.08,0.06,0.12,0.04,0.01,0.012,22,22,0.8212734611497985,0.0640001411032345,256,22.5858505994571,0.9088259855906168,90,retinextapetum_lol_v2_synthetic_illumination_78465ecd9c,78465ecd9c
lol_v2_synthetic,LOL-v2,Synthetic,illumination,trial_0007,42,25,20,5,25,120,536463,5e8c2aa4bf6c6024c527dae0efa871404f92e53986b077d11653199698ba5fb5,937.4279699325562,2026-08-10T08:24:50,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.25,0.35,0.08,0.06,0.12,0.04,0.01,0.012,22,22,0.7913082856271002,0.0645616176124248,256,22.567100738745097,0.9082659105459848,90,retinextapetum_lol_v2_synthetic_illumination_78465ecd9c,78465ecd9c
lol_v2_synthetic,LOL-v2,Synthetic,illumination,trial_0008,42,25,20,5,25,120,536463,5e8c2aa4bf6c6024c527dae0efa871404f92e53986b077d11653199698ba5fb5,935.6115140914916,2026-08-10T08:40:26,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.25,0.35,0.08,0.06,0.12,0.04,0.01,0.012,22,22,0.7924099028110504,0.0650320931234293,256,22.543815114672487,0.9079103728135428,90,retinextapetum_lol_v2_synthetic_illumination_78465ecd9c,78465ecd9c
lol_v2_synthetic,LOL-v2,Synthetic,illumination,trial_0000,42,25,20,5,25,120,536463,1c450ed411eb36bed115cdecd7e09a5ab32a92ed0ab3dad660638f7728eb7928,940.4135639667512,2026-08-10T06:35:09,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,22,22,0.8516200655036502,0.0667676577758458,256,22.53393806846236,0.9075201405419244,90,retinextapetum_lol_v2_synthetic_illumination_78465ecd9c,78465ecd9c
lol_v2_synthetic,LOL-v2,Synthetic,illumination,trial_0006,42,25,20,5,25,120,536463,ad14a5b094d47a5b20db189c25992db3a39f09a594ced8b557363aba6f4e1f79,936.0088427066804,2026-08-10T08:09:11,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.1,0.35,0.08,0.06,0.12,0.04,0.01,0.012,22,22,0.7021601655417018,0.0671301755847202,256,22.4117559698958,0.9067595356040532,90,retinextapetum_lol_v2_synthetic_illumination_78465ecd9c,78465ecd9c
lol_v2_synthetic,LOL-v2,Synthetic,illumination,trial_0005,42,25,20,5,25,120,536463,f6388140b36aa8bf33c90aa7eace359886f65a5ea910592cf8b18ba667b800ec,939.1601672172546,2026-08-10T07:53:35,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.05,0.35,0.08,0.06,0.12,0.04,0.01,0.012,22,22,0.6704545771082242,0.0671475351995064,256,22.35357351170213,0.9066528956095378,90,retinextapetum_lol_v2_synthetic_illumination_78465ecd9c,78465ecd9c
