dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,study_name,study_context
lol_v2_synthetic,LOL-v2,Synthetic,optimizer,trial_0008,42,20,0,20,20,120,536463,f3a721bb0600a3f4cb6383e173d3a688438e07e1579d2214edeecfcb96016990,3675.568819046021,2026-08-10T05:17:36,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,0.8575713656014866,0.0778168267259995,256,22.413226713302315,0.909265989727444,90,retinextapetum_lol_v2_synthetic_optimizer_c5989be4af,c5989be4af
lol_v2_synthetic,LOL-v2,Synthetic,optimizer,trial_0006,42,20,0,20,20,120,536463,8dea9b1985fee7cf36bb0bd9f6511e257aa3d29ed4744a82bff710ccbfd10846,3669.860079288482,2026-08-10T03:14:17,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,0.8325792930192417,0.0695149197760555,256,22.28739862372298,0.909359523985121,90,retinextapetum_lol_v2_synthetic_optimizer_c5989be4af,c5989be4af
lol_v2_synthetic,LOL-v2,Synthetic,optimizer,trial_0005,42,20,0,20,20,120,536463,3dba77ecf9bf2fd2f84bee446ad15ecd17761c579222062f8a8d8636dbbe12b4,3671.3700861930847,2026-08-10T02:13:06,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007482765982358,4.614460491489921e-05,8.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,0.8176956499616305,0.0715708659340938,256,22.028199524902625,0.907015292512046,90,retinextapetum_lol_v2_synthetic_optimizer_c5989be4af,c5989be4af
lol_v2_synthetic,LOL-v2,Synthetic,optimizer,trial_0009,42,20,0,20,20,120,536463,c9ed09472942b515a4720f7cf9c2d4357483e1561410ea199d47ceee77842a87,3710.0521647930145,2026-08-10T06:19:27,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.00040680755463459966,3.726008568077977e-05,8.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,0.8620171945956018,0.07506400820695691,256,21.872339704238,0.9021519919236501,90,retinextapetum_lol_v2_synthetic_optimizer_c5989be4af,c5989be4af
lol_v2_synthetic,LOL-v2,Synthetic,optimizer,trial_0000,42,20,0,20,20,120,536463,f4911729c6a37f2c68af72ed96bc19430e0bd498f17bc5d7d8760b25428d0d9f,3766.050431728363,2026-08-09T21:02:01,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,0.8230745933122106,0.0719805002833406,256,21.78396200067456,0.9019029001394908,90,retinextapetum_lol_v2_synthetic_optimizer_c5989be4af,c5989be4af
lol_v2_synthetic,LOL-v2,Synthetic,optimizer,trial_0007,42,20,0,20,20,120,536463,1ef7109d8dd1dcb42447beafa6831b74c6fe34297be7ddad67fb5fcd7c8e0fa7,3722.022641658783,2026-08-10T04:16:20,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0003152696633156,2.532109045334724e-05,5.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,0.8700010922220018,0.0773803381249308,256,21.48911742854541,0.8939922630786896,90,retinextapetum_lol_v2_synthetic_optimizer_c5989be4af,c5989be4af
lol_v2_synthetic,LOL-v2,Synthetic,optimizer,trial_0001,42,20,0,20,20,120,536463,fea12ee81101df8e2deda30f8d62c5884aaae914ed2915d88feb64f9de6af482,3743.181883811951,2026-08-09T22:04:25,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0002178930765977,2.959420574692146e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,0.8649955734610557,0.0905277306213974,256,20.76142643647755,0.8809883071316613,90,retinextapetum_lol_v2_synthetic_optimizer_c5989be4af,c5989be4af
lol_v2_synthetic,LOL-v2,Synthetic,optimizer,trial_0004,42,20,0,20,20,120,536463,399f1166fc682428769acfa3f93093b4cb0926780ee70d852a6ee83d87cd1e8e,3748.700223684311,2026-08-10T01:11:54,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0001464302407518,5.4061908553986e-06,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,0.8628335659702618,0.107962165110641,256,20.08123330206604,0.8655353294478523,90,retinextapetum_lol_v2_synthetic_optimizer_c5989be4af,c5989be4af
lol_v2_synthetic,LOL-v2,Synthetic,optimizer,trial_0002,42,20,0,20,20,120,536463,ad1e86705eb98387f45634f45c047ce7c3dfb58344e80c9f39d08a339a4b9b72,3751.342097520828,2026-08-09T23:06:57,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.000138317486814,3.1098096297643595e-06,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,20,20,0.8608286726805899,0.1085812421722544,256,19.950116249119887,0.860178597105874,90,retinextapetum_lol_v2_synthetic_optimizer_c5989be4af,c5989be4af
lol_v2_synthetic,LOL-v2,Synthetic,optimizer,trial_0003,42,20,0,20,20,120,536463,7da11fd81807d6e04a4b75c62cfc0a2884b0a5344473fb4019029672fea0bb4e,3747.2934968471527,2026-08-10T00:09:25,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0001043733566672,1.473500158693534e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,19,19,0.8640802065531413,0.1296010698709223,256,19.46423590741843,0.8512844257884555,90,retinextapetum_lol_v2_synthetic_optimizer_c5989be4af,c5989be4af
