dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,study_name,study_context
uhd_ll_down4,UHD-LL down4,,detail,trial_0012,42,15,12,3,15,120,536463,4e790659640457a20bb7f6a98ac34ae76501228832e83f876dd6891c2f92f7a3,1357.627159833908,2026-08-11T21:36:48,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.06,0.01,0.01,14,14,1.3972139199232232,0.0525287793756559,256,25.89632269950707,0.9194374937435676,116,retinextapetum_uhd_ll_down4_detail_fafcf3fd99,fafcf3fd99
uhd_ll_down4,UHD-LL down4,,detail,trial_0005,42,15,12,3,15,120,536463,047925bc6f4ba6fa40129d05b8a56ec8fa7ac962a69df0888da15106c458c7b3,1358.9420516490936,2026-08-11T18:58:18,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.08,0.02,0.001,14,14,1.4012381737602169,0.0527345495105817,256,25.878135860146248,0.9194418001791528,116,retinextapetum_uhd_ll_down4_detail_fafcf3fd99,fafcf3fd99
uhd_ll_down4,UHD-LL down4,,detail,trial_0004,42,15,12,3,15,120,536463,20a00144540bcb8b2803ea523730561e92316f5c32e27c285f92f7a0d226915f,1356.8319962024689,2026-08-11T18:35:39,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.06,0.0,0.012,14,14,1.4062248673932305,0.0527517307822688,256,25.86354067229651,0.919416044806612,116,retinextapetum_uhd_ll_down4_detail_fafcf3fd99,fafcf3fd99
uhd_ll_down4,UHD-LL down4,,detail,trial_0013,42,15,12,3,15,120,536463,b50b93ed9be822f81f165f65fc7d1aa3c2078c42f7a77e99795bb10fc03458bf,1359.514039516449,2026-08-11T21:59:29,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969634,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.05,0.01,0.010000000000000002,15,15,1.400061849890084,0.055318136827955985,256,25.848072982459755,0.9188799544655043,116,retinextapetum_uhd_ll_down4_detail_fafcf3fd99,fafcf3fd99
uhd_ll_down4,UHD-LL down4,,detail,trial_0011,42,15,12,3,15,120,536463,66bd7725cc95b0d3986d997d62519975c15d6953eb23891a1d82f12e559cf267,1357.2111213207245,2026-08-11T21:14:10,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.07,0.0,0.012,14,14,1.3984135995651117,0.0532145606161191,256,25.835343314273256,0.919260727948156,116,retinextapetum_uhd_ll_down4_detail_fafcf3fd99,fafcf3fd99
uhd_ll_down4,UHD-LL down4,,detail,trial_0009,42,15,12,3,15,120,536463,f28e108083e55e58e1cb7d339ffa0ad89056490de40edcfdfd18123196ff9e66,1358.3845880031586,2026-08-11T20:28:51,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.02,0.03,0.007,15,15,1.398451584166494,0.0572415684221376,256,25.79372750468614,0.9188848862360264,116,retinextapetum_uhd_ll_down4_detail_fafcf3fd99,fafcf3fd99
uhd_ll_down4,UHD-LL down4,,detail,trial_0001,42,15,12,3,15,120,536463,1a6f05421407418f5198eca731282bc1e0d3a8a095a3587e057a085a221540d2,1361.035441160202,2026-08-11T17:27:38,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.03,0.05,0.009,14,14,1.3944187215689956,0.0527423620946576,256,25.77566360722192,0.9187675108169688,116,retinextapetum_uhd_ll_down4_detail_fafcf3fd99,fafcf3fd99
uhd_ll_down4,UHD-LL down4,,detail,trial_0003,42,15,12,3,15,120,536463,79462caf4d1b2db397616f2495be1a438625d3bb8e71a4e5a5244492852024ed,1360.3264653682709,2026-08-11T18:13:01,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.0,0.05,0.008,15,15,1.4050635983204018,0.0575107405010353,256,25.76332862554837,0.9191119809602868,116,retinextapetum_uhd_ll_down4_detail_fafcf3fd99,fafcf3fd99
uhd_ll_down4,UHD-LL down4,,detail,trial_0000,42,15,12,3,15,120,536463,af68fb6d6a4645ebf9cc635f8712df91ccd7aad5f9035958f641ae74876fddea,1359.490299701691,2026-08-11T17:04:56,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.04,0.01,0.012,15,15,1.402926536469624,0.0597306070528153,256,25.760139943883285,0.9187624392838314,116,retinextapetum_uhd_ll_down4_detail_fafcf3fd99,fafcf3fd99
uhd_ll_down4,UHD-LL down4,,detail,trial_0007,42,15,12,3,15,120,536463,198585374ef90d519b5bef00972d4e41c6e14007d601b5f6d90d16b0fbb71413,1355.6816940307615,2026-08-11T19:43:34,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.9,0.55,0.05,0.06,0.12,0.0,0.03,0.005,15,15,1.401611675990039,0.0580876635162737,256,25.755033201540023,0.9187654082117408,116,retinextapetum_uhd_ll_down4_detail_fafcf3fd99,fafcf3fd99
