dataset_key,data_name,data_variant,stage,run_name,seed,epochs,resume_from_epoch,trained_epochs_this_run,completed_epoch,scheduler_horizon,expected_trainable_params,run_context,elapsed_seconds,completed_at,BATCH_SIZE,CROP_SIZE,BASE_CHANNELS,W_L1,W_RECON_LOW,W_RECON_HIGH,W_REFLECT,W_SMOOTH_LOW,W_SMOOTH_HIGH,W_SMOOTH_ENH,LR,MIN_LR,GRAD_CLIP_NORM,LAMBDA_MAX,W_SSIM,W_LPIPS,W_COLOR,W_CHROMA,W_EDGE,W_DARK_NOISE,W_ATTN,best_epoch,checkpoint_epoch,lambda_mean,lpips,lpips_resize,psnr,ssim,val_count,study_name,study_context
uhd_ll_down4,UHD-LL down4,,optimizer,trial_0000,42,8,0,8,8,120,536463,a6b70731c3e42d64319f19e483e5e6fad6433f18bfb7ca64d0dc04a48c1e844c,3732.203963518143,2026-08-11T02:07:40,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0004694801408703,2.12826357198832e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,8,8,1.0318779688456965,0.0634549670081971,256,25.622696102625543,0.9064730400669164,116,retinextapetum_uhd_ll_down4_optimizer_0be7616ef1,0be7616ef1
uhd_ll_down4,UHD-LL down4,,optimizer,trial_0008,42,8,0,8,8,120,536463,c892b595df17b971be47741cb76b5c7b99ae9decb39f6235ddc73101cee85cdc,3531.506790161133,2026-08-11T10:03:42,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007873952428969,1.667796398728883e-05,8.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,8,8,1.0458629640011952,0.0631247577819459,256,25.5437438087198,0.9101631790399553,116,retinextapetum_uhd_ll_down4_optimizer_0be7616ef1,0be7616ef1
uhd_ll_down4,UHD-LL down4,,optimizer,trial_0009,42,8,0,8,8,120,536463,710f59bb55ad43d0222778fa379db2fccab781584844aae2d4fd61e980fb6b21,3579.9025530815125,2026-08-11T11:03:23,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.00030950493747215275,2.7373085408689297e-05,8.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,8,8,1.0415034890174866,0.07202215206905685,256,25.525057920158435,0.9024437265149479,116,retinextapetum_uhd_ll_down4_optimizer_0be7616ef1,0be7616ef1
uhd_ll_down4,UHD-LL down4,,optimizer,trial_0006,42,8,0,8,8,120,536463,75ba58a6921a48e05954f43c96d0d5506d18ea35a7357a341d818eec5d48aada,3531.255132913589,2026-08-11T08:05:10,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0006991561452271,5.0237973942179794e-05,8.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,8,8,1.043768474767948,0.0647450059668385,256,25.5199109930934,0.9092923505552885,116,retinextapetum_uhd_ll_down4_optimizer_0be7616ef1,0be7616ef1
uhd_ll_down4,UHD-LL down4,,optimizer,trial_0004,42,8,0,8,8,120,536463,8835ecf57849fb0141b8b98d4d05a84fdbacaaf337e8e6903b745ece5c2eae5a,3600.7615263462067,2026-08-11T06:07:22,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0001464302407518,5.4061908553986e-06,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,8,8,1.030728408488734,0.0842631310385105,256,25.48797645093473,0.894500078312282,116,retinextapetum_uhd_ll_down4_optimizer_0be7616ef1,0be7616ef1
uhd_ll_down4,UHD-LL down4,,optimizer,trial_0005,42,8,0,8,8,120,536463,85ae617ba2c6347294a34e9a5a684aeea9ab1e0ed61b3cea5e21625fc48e5b08,3534.419290781021,2026-08-11T07:06:18,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0007482765982358,4.614460491489921e-05,8.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,8,8,1.0340429441682224,0.0608853520664932,256,25.44159178402521,0.911084018390754,116,retinextapetum_uhd_ll_down4_optimizer_0be7616ef1,0be7616ef1
uhd_ll_down4,UHD-LL down4,,optimizer,trial_0001,42,8,0,8,8,120,536463,92c738b621fbbd7b423bba640272427b81a9021e6237d7eab2c94a74099bbef4,3582.504066705704,2026-08-11T03:07:24,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0002178930765977,2.959420574692146e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,8,8,1.0313135478003272,0.0753142850730439,256,25.364442458646646,0.898982449852187,116,retinextapetum_uhd_ll_down4_optimizer_0be7616ef1,0be7616ef1
uhd_ll_down4,UHD-LL down4,,optimizer,trial_0007,42,8,0,8,8,120,536463,46da02ff37f8640eda0579da7feab240a0e35bed607b80ea35160528a9156500,3578.9346265792847,2026-08-11T09:04:49,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0003152696633156,2.280218940279208e-05,5.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,8,8,1.0484213839317191,0.0685210567658189,256,25.33353435275188,0.900909426911124,116,retinextapetum_uhd_ll_down4_optimizer_0be7616ef1,0be7616ef1
uhd_ll_down4,UHD-LL down4,,optimizer,trial_0002,42,8,0,8,8,120,536463,f05bac162c8a52deebf5e7b0f6b6ef0fbfbbbde61ff166e3d06ba3af0fed33f1,3598.324930906296,2026-08-11T04:07:23,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.000138317486814,3.1098096297643595e-06,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,8,8,1.0148100308303176,0.0854175146990295,256,25.05282584366035,0.8948064353959314,116,retinextapetum_uhd_ll_down4_optimizer_0be7616ef1,0be7616ef1
uhd_ll_down4,UHD-LL down4,,optimizer,trial_0003,42,8,0,8,8,120,536463,5fed21e74a44e8563dd0e418e5f6b690af2d872f6607df04cb7fcef9f13c037f,3596.780552387237,2026-08-11T05:07:20,2,256,128,1.0,1.0,0.85,0.06,0.08,0.08,0.06,0.0001043733566672,1.473500158693534e-05,3.0,1.35,0.35,0.08,0.06,0.12,0.04,0.01,0.012,8,8,0.939212854052412,0.0880020056160744,256,24.19409018181307,0.8896906165213421,116,retinextapetum_uhd_ll_down4_optimizer_0be7616ef1,0be7616ef1
