dataset,dataset_variant,file,ablation_variant,psnr,ssim,lpips,lpips_resize
LOL-v1,,1.png,full,21.789062289455245,0.8895057439804077,0.0955197736620903,0.06806357949972153
LOL-v1,,1.png,retinex_base_only,8.548465061582185,0.399232417345047,0.318202406167984,0.24740685522556305
LOL-v1,,1.png,without_residual_refinement,16.70800666957191,0.8073002696037292,0.11857233941555023,0.08456378430128098
LOL-v1,,1.png,without_tapetum_update,10.319766558150214,0.623559832572937,0.270892471075058,0.21218767762184143
LOL-v1,,1.png,without_attention_modulation,21.789062900102905,0.8895045518875122,0.09551919996738434,0.06806368380784988
LOL-v1,,1.png,without_spatial_amplification,10.322686974380076,0.6238924264907837,0.27080339193344116,0.21185944974422455
LOL-v1,,1.png,without_high_frequency_cue,21.78906961723289,0.8895057439804077,0.09551962465047836,0.06806322932243347
LOL-v1,,1.png,without_darkness_gate,23.290243613147062,0.8901610970497131,0.08894366770982742,0.062417931854724884
LOL-v1,,111.png,full,19.469716566009055,0.9114001989364624,0.09869326651096344,0.07517717033624649
LOL-v1,,111.png,retinex_base_only,7.302520130121626,0.4276820719242096,0.3069112002849579,0.2744073271751404
LOL-v1,,111.png,without_residual_refinement,14.704215012267595,0.8489234447479248,0.12177640199661255,0.09658832848072052
LOL-v1,,111.png,without_tapetum_update,9.014292164474703,0.6105102300643921,0.25759169459342957,0.23264038562774658
LOL-v1,,111.png,without_attention_modulation,19.469731601102794,0.9114001989364624,0.09869465231895447,0.07517673820257187
LOL-v1,,111.png,without_spatial_amplification,9.015093703609214,0.6105383634567261,0.25758445262908936,0.2325584590435028
LOL-v1,,111.png,without_high_frequency_cue,19.469717997920505,0.9114001989364624,0.09869346022605896,0.07517731189727783
LOL-v1,,111.png,without_darkness_gate,23.76370643130081,0.9171366691589355,0.0995456725358963,0.0772576853632927
LOL-v1,,146.png,full,24.805335432410786,0.89639812707901,0.08459561318159103,0.0661139190196991
LOL-v1,,146.png,retinex_base_only,8.355156130628442,0.46849602460861206,0.24842455983161926,0.22949156165122986
LOL-v1,,146.png,without_residual_refinement,18.114006393444406,0.8409922122955322,0.1036892756819725,0.078926220536232
LOL-v1,,146.png,without_tapetum_update,10.218386711134311,0.6500531435012817,0.22862517833709717,0.20666593313217163
LOL-v1,,146.png,without_attention_modulation,24.805330234765293,0.89639812707901,0.08459658920764923,0.06611394882202148
LOL-v1,,146.png,without_spatial_amplification,10.221341528128804,0.6512933373451233,0.22801561653614044,0.20633961260318756
LOL-v1,,146.png,without_high_frequency_cue,24.805338184107978,0.8963974118232727,0.08459605276584625,0.06611417233943939
LOL-v1,,146.png,without_darkness_gate,23.328805336421294,0.8841797113418579,0.104732945561409,0.08754843473434448
LOL-v1,,179.png,full,18.252938610548814,0.77219158411026,0.11078639328479767,0.09423419088125229
LOL-v1,,179.png,retinex_base_only,13.850253052533795,0.5887846350669861,0.28201982378959656,0.23655200004577637
LOL-v1,,179.png,without_residual_refinement,23.51490281295318,0.8257784843444824,0.10366597026586533,0.08715800940990448
LOL-v1,,179.png,without_tapetum_update,16.673345180850813,0.7225124835968018,0.24860350787639618,0.21132877469062805
LOL-v1,,179.png,without_attention_modulation,18.25286313978729,0.7721908092498779,0.1107865497469902,0.0942341759800911
LOL-v1,,179.png,without_spatial_amplification,16.673510271216628,0.7224594950675964,0.24843622744083405,0.21098893880844116
LOL-v1,,179.png,without_high_frequency_cue,18.2529380695351,0.77219158411026,0.11078622937202454,0.09423372894525528
LOL-v1,,179.png,without_darkness_gate,16.560237098792776,0.7477041482925415,0.11534149944782257,0.10091233998537064
LOL-v1,,22.png,full,27.12701021771408,0.8960043787956238,0.12174560129642487,0.08615332841873169
LOL-v1,,22.png,retinex_base_only,8.557679433097423,0.4861680567264557,0.32697194814682007,0.26219069957733154
LOL-v1,,22.png,without_residual_refinement,19.957446445548886,0.8679201602935791,0.13362577557563782,0.095720574259758
LOL-v1,,22.png,without_tapetum_update,10.410019634351201,0.6704174876213074,0.297250896692276,0.23692423105239868
LOL-v1,,22.png,without_attention_modulation,27.126901940229256,0.8960030674934387,0.12174324691295624,0.08615346997976303
LOL-v1,,22.png,without_spatial_amplification,10.411198292403292,0.6697651743888855,0.2974182963371277,0.23726317286491394
LOL-v1,,22.png,without_high_frequency_cue,27.126978647373434,0.8960033059120178,0.12174616008996964,0.08615205436944962
LOL-v1,,22.png,without_darkness_gate,20.490664544198424,0.8846387267112732,0.13033299148082733,0.10343742370605469
LOL-v1,,23.png,full,17.765378276599854,0.8369242548942566,0.2190946340560913,0.16382375359535217
LOL-v1,,23.png,retinex_base_only,6.965937396384629,0.37962979078292847,0.42249977588653564,0.3525662124156952
LOL-v1,,23.png,without_residual_refinement,13.918628090778197,0.7680103182792664,0.24129989743232727,0.17947646975517273
LOL-v1,,23.png,without_tapetum_update,8.48578911930172,0.5616912245750427,0.39380377531051636,0.32097017765045166
LOL-v1,,23.png,without_attention_modulation,17.76537779303777,0.8369239568710327,0.21909908950328827,0.1638253629207611
LOL-v1,,23.png,without_spatial_amplification,8.488638178841283,0.5618517994880676,0.3937087655067444,0.3215969502925873
LOL-v1,,23.png,without_high_frequency_cue,17.765377309475742,0.8369238972663879,0.21909518539905548,0.1638239473104477
LOL-v1,,23.png,without_darkness_gate,22.33889969135861,0.8497270941734314,0.19575946033000946,0.15162205696105957
LOL-v1,,493.png,full,15.844051402740835,0.562597393989563,0.20918354392051697,0.14840838313102722
LOL-v1,,493.png,retinex_base_only,14.982677728626303,0.5317010283470154,0.2770397365093231,0.23104557394981384
LOL-v1,,493.png,without_residual_refinement,19.91403103840564,0.6461057066917419,0.19186878204345703,0.13398143649101257
LOL-v1,,493.png,without_tapetum_update,17.398395313913,0.5459654331207275,0.27328959107398987,0.23047739267349243
LOL-v1,,493.png,without_attention_modulation,15.84400169350642,0.5625950694084167,0.20918461680412292,0.1484079658985138
LOL-v1,,493.png,without_spatial_amplification,17.38398978671818,0.543899416923523,0.27194106578826904,0.22888007760047913
LOL-v1,,493.png,without_high_frequency_cue,15.844047985212754,0.5625972151756287,0.20918332040309906,0.1484077125787735
