dataset,dataset_variant,filename,dark_pixels,bright_pixels,T_mean,T_median,Td_mean,Td_median,Td_dark_mean,Td_dark_median,Td_bright_mean,Td_bright_median,lambda_dark_mean,lambda_dark_median,lambda_bright_mean,lambda_bright_median,boost_dark_mean,boost_dark_median,boost_bright_mean,boost_bright_median,corr_Td_darkness,corr_boost_darkness,gain_mean,gain_median,gain_dark_mean,gain_bright_mean
LOL-v1,,1.png,240000,0,0.9999956488609314,1.0,0.8495362997055054,0.909062385559082,0.8495362997055054,0.909062385559082,nan,nan,1.5291721820831299,1.6363141536712646,nan,nan,1.529165267944336,1.6363122463226318,nan,nan,0.9999446272850037,0.9999450445175171,2.529165506362915,2.636312246322632,2.529165506362915,nan
LOL-v1,,111.png,239960,0,0.9999984502792358,1.0,0.8364137411117554,0.8218705654144287,0.8364719152450562,0.8218892812728882,nan,nan,1.505651593208313,1.479400634765625,nan,nan,1.5056495666503906,1.479400634765625,nan,nan,0.999980092048645,0.9999809265136719,2.505544900894165,2.4793670177459717,2.5056495666503906,nan
LOL-v1,,146.png,240000,0,0.9999949932098389,1.0,0.8266802430152893,0.7867535948753357,0.8266802430152893,0.7867535948753357,nan,nan,1.4880330562591553,1.4161635637283325,nan,nan,1.4880244731903076,1.4161564111709595,nan,nan,0.9998475909233093,0.9998483657836914,2.4880244731903076,2.41615629196167,2.4880244731903076,nan
LOL-v1,,179.png,239998,0,0.9999969005584717,1.0,0.8808420300483704,0.8719042539596558,0.8808457255363464,0.8719044327735901,nan,nan,1.5855268239974976,1.5694279670715332,nan,nan,1.5855222940444946,1.5694279670715332,nan,nan,0.9998008012771606,0.999803364276886,2.5855157375335693,2.569427490234375,2.585522413253784,nan
LOL-v1,,22.png,240000,0,0.9999946355819702,1.0,0.8144102692604065,0.790570855140686,0.8144102692604065,0.790570855140686,nan,nan,1.4659473896026611,1.4230384826660156,nan,nan,1.4659382104873657,1.423027515411377,nan,nan,0.9998936057090759,0.9998942017555237,2.4659383296966553,2.423027515411377,2.4659383296966553,nan
LOL-v1,,23.png,240000,0,0.9999944567680359,1.0,0.8410725593566895,0.8217517137527466,0.8410725593566895,0.8217517137527466,nan,nan,1.5139399766921997,1.4791568517684937,nan,nan,1.5139305591583252,1.479153037071228,nan,nan,0.9998555779457092,0.9998562335968018,2.513930559158325,2.4791531562805176,2.513930559158325,nan
LOL-v1,,493.png,240000,0,0.9999961853027344,1.0,0.8788618445396423,0.8921772837638855,0.8788618445396423,0.8921772837638855,nan,nan,1.5819573402404785,1.605923056602478,nan,nan,1.5819512605667114,1.6059191226959229,nan,nan,0.9999116659164429,0.9999123215675354,2.581951379776001,2.605919122695923,2.581951379776001,nan
LOL-v1,,547.png,240000,0,0.9999973177909851,1.0,0.8294612169265747,0.8205116987228394,0.8294612169265747,0.8205116987228394,nan,nan,1.4930340051651,1.4769258499145508,nan,nan,1.4930301904678345,1.4769209623336792,nan,nan,0.9999456405639648,0.9999464154243469,2.493030309677124,2.4769210815429688,2.493030309677124,nan
LOL-v1,,55.png,240000,0,0.9999951720237732,1.0,0.8366319537162781,0.8227421045303345,0.8366319537162781,0.8227421045303345,nan,nan,1.5059454441070557,1.4809409379959106,nan,nan,1.5059375762939453,1.4809356927871704,nan,nan,0.9999066591262817,0.9999072551727295,2.5059375762939453,2.480935573577881,2.5059375762939453,nan
LOL-v1,,665.png,239999,0,0.9999954104423523,1.0,0.8404271006584167,0.8249279260635376,0.8404290676116943,0.8249279260635376,nan,nan,1.5127795934677124,1.484871506690979,nan,nan,1.5127720832824707,1.484870195388794,nan,nan,0.9997768998146057,0.9997779726982117,2.512768507003784,2.484870195388794,2.5127720832824707,nan
LOL-v1,,669.png,240000,0,0.9999963641166687,1.0,0.8322988152503967,0.8413424491882324,0.8322988152503967,0.8413424491882324,nan,nan,1.4981434345245361,1.5144171714782715,nan,nan,1.4981377124786377,1.5144163370132446,nan,nan,0.9998931884765625,0.9998941421508789,2.4981377124786377,2.514416217803955,2.4981377124786377,nan
LOL-v1,,748.png,239547,37,0.9999967217445374,1.0,0.8581476807594299,0.8608294129371643,0.8590623140335083,0.8609554171562195,0.10581620782613754,0.09243673086166382,1.5463171005249023,1.5497238636016846,0.1904691755771637,0.16638611257076263,1.5463120937347412,1.5497196912765503,0.1904691755771637,0.16638611257076263,0.9998791813850403,0.9998804926872253,2.544665813446045,2.549492835998535,2.546311855316162,1.1904691457748413
LOL-v1,,778.png,239930,7,0.9999972581863403,1.0,0.8855673670768738,0.8998168706893921,0.8857201337814331,0.8998607397079468,0.18121489882469177,0.1803889274597168,1.5943007469177246,1.619752287864685,0.32618680596351624,0.3247000575065613,1.5942962169647217,1.6197493076324463,0.32618680596351624,0.3247000575065613,0.9999385476112366,0.9999390840530396,2.5940213203430176,2.6196703910827637,2.5942962169647217,1.3261867761611938
