dataset,dataset_variant,file,ablation_variant,psnr,ssim,lpips,lpips_resize
LOL-v2,Real_captured,00690.png,full,20.560420769597307,0.8726377487182617,0.10164782404899597,0.04952630400657654
LOL-v2,Real_captured,00690.png,retinex_base_only,11.316819778884124,0.5626327991485596,0.23494204878807068,0.17536213994026184
LOL-v2,Real_captured,00690.png,without_residual_refinement,28.78418964746323,0.8856314420700073,0.09268462657928467,0.04160619154572487
LOL-v2,Real_captured,00690.png,without_tapetum_update,14.06302102074514,0.7538335919380188,0.19451619684696198,0.1372082680463791
LOL-v2,Real_captured,00690.png,without_attention_modulation,20.504018663129344,0.8711493015289307,0.1043337732553482,0.047661490738391876
LOL-v2,Real_captured,00690.png,without_spatial_amplification,14.062944740083887,0.7538120150566101,0.19451220333576202,0.13725215196609497
LOL-v2,Real_captured,00690.png,without_high_frequency_cue,20.560424451028517,0.8726382851600647,0.10164643079042435,0.04952564090490341
LOL-v2,Real_captured,00690.png,without_darkness_gate,15.227632272540765,0.821449339389801,0.14187763631343842,0.08677004277706146
LOL-v2,Real_captured,00691.png,full,20.278328368896,0.8354001641273499,0.10991957038640976,0.05613381415605545
LOL-v2,Real_captured,00691.png,retinex_base_only,11.295177992367035,0.5457531809806824,0.24025286734104156,0.18033885955810547
LOL-v2,Real_captured,00691.png,without_residual_refinement,27.10322853711589,0.8479459881782532,0.10055747628211975,0.04840768873691559
LOL-v2,Real_captured,00691.png,without_tapetum_update,14.024237627247869,0.7312396168708801,0.1994582861661911,0.14267855882644653
LOL-v2,Real_captured,00691.png,without_attention_modulation,20.22532065279803,0.8338285088539124,0.11358846724033356,0.05401018634438515
LOL-v2,Real_captured,00691.png,without_spatial_amplification,14.024167337315113,0.7312196493148804,0.1994471549987793,0.14272110164165497
LOL-v2,Real_captured,00691.png,without_high_frequency_cue,20.278330525087803,0.8354005217552185,0.10991840064525604,0.056133002042770386
LOL-v2,Real_captured,00691.png,without_darkness_gate,15.133935557776077,0.7863805890083313,0.1510596126317978,0.09383361041545868
LOL-v2,Real_captured,00692.png,full,26.75434365237671,0.907375156879425,0.07283256947994232,0.045356422662734985
LOL-v2,Real_captured,00692.png,retinex_base_only,10.43438540249203,0.43987518548965454,0.20080342888832092,0.17108309268951416
LOL-v2,Real_captured,00692.png,without_residual_refinement,23.63450139226301,0.8725973963737488,0.07649080455303192,0.05101924017071724
LOL-v2,Real_captured,00692.png,without_tapetum_update,12.870037080087787,0.6463233828544617,0.16745489835739136,0.1390809267759323
LOL-v2,Real_captured,00692.png,without_attention_modulation,26.741412570875866,0.9070427417755127,0.07319483160972595,0.04556060582399368
LOL-v2,Real_captured,00692.png,without_spatial_amplification,12.870625167410328,0.6462564468383789,0.1672273576259613,0.13870544731616974
LOL-v2,Real_captured,00692.png,without_high_frequency_cue,26.7547986458533,0.9073786735534668,0.07282344996929169,0.045349717140197754
LOL-v2,Real_captured,00692.png,without_darkness_gate,20.35850753996233,0.8866432309150696,0.08232471346855164,0.053616203367710114
LOL-v2,Real_captured,00693.png,full,28.686566359636053,0.9141106605529785,0.06294255703687668,0.038645729422569275
LOL-v2,Real_captured,00693.png,retinex_base_only,10.245762482649427,0.4208057224750519,0.20759212970733643,0.17659102380275726
LOL-v2,Real_captured,00693.png,without_residual_refinement,22.317263836308783,0.8691075444221497,0.06867381185293198,0.0448809452354908
LOL-v2,Real_captured,00693.png,without_tapetum_update,12.617276560811847,0.6312556266784668,0.17196619510650635,0.14471770823001862
LOL-v2,Real_captured,00693.png,without_attention_modulation,28.69194933485548,0.9137920141220093,0.06315134465694427,0.03871343284845352
LOL-v2,Real_captured,00693.png,without_spatial_amplification,12.61795200903751,0.6311324834823608,0.17216935753822327,0.14503346383571625
LOL-v2,Real_captured,00693.png,without_high_frequency_cue,28.687162726899228,0.9141166806221008,0.06293421983718872,0.038642801344394684
LOL-v2,Real_captured,00693.png,without_darkness_gate,22.211854864613912,0.8991125226020813,0.07074369490146637,0.04631102830171585
LOL-v2,Real_captured,00694.png,full,28.882899489303483,0.9087166786193848,0.056403983384370804,0.029540924355387688
LOL-v2,Real_captured,00694.png,retinex_base_only,9.747442662945856,0.4367905557155609,0.22012369334697723,0.19231784343719482
LOL-v2,Real_captured,00694.png,without_residual_refinement,22.283453305621723,0.8684597611427307,0.0663357600569725,0.03871336579322815
