dataset,dataset_variant,filename,dark_pixels,bright_pixels,T_mean,T_median,Td_mean,Td_median,Td_dark_mean,Td_dark_median,Td_bright_mean,Td_bright_median,lambda_dark_mean,lambda_dark_median,lambda_bright_mean,lambda_bright_median,boost_dark_mean,boost_dark_median,boost_bright_mean,boost_bright_median,corr_Td_darkness,corr_boost_darkness,gain_mean,gain_median,gain_dark_mean,gain_bright_mean
LOL-v2,Real_captured,00690.png,239541,323,0.994131326675415,0.9999861717224121,0.8199625015258789,0.8238651752471924,0.8211817741394043,0.8241207003593445,0.11921821534633636,0.1126408576965332,1.6530749797821045,1.6528303623199463,0.23843643069267273,0.2252817153930664,1.6423635482788086,1.648241400718689,0.23843643069267273,0.2252817153930664,0.9750170707702637,0.9750179052352905,2.639925003051758,2.6477303504943848,2.6423635482788086,1.2384364604949951
LOL-v2,Real_captured,00691.png,239548,320,0.9941251873970032,0.9999867677688599,0.8202663064002991,0.8245584964752197,0.8214695453643799,0.8247838616371155,0.119643934071064,0.11330711841583252,1.6536622047424316,1.6540899276733398,0.239287868142128,0.22661423683166504,1.6429390907287598,1.649567723274231,0.239287868142128,0.22661423683166504,0.9746071696281433,0.9746080040931702,2.6405324935913086,2.6491169929504395,2.642939329147339,1.2392878532409668
LOL-v2,Real_captured,00692.png,239998,0,0.9860384464263916,0.9999986886978149,0.8446963429450989,0.8410809636116028,0.8447003960609436,0.8410815596580505,nan,nan,1.71688973903656,1.6921007633209229,nan,nan,1.6894007921218872,1.682163119316101,nan,nan,0.5760834813117981,0.5760840773582458,2.6893928050994873,2.682161808013916,2.6894006729125977,nan
LOL-v2,Real_captured,00693.png,239998,0,0.9852737188339233,0.9999990463256836,0.851652204990387,0.8493258357048035,0.8516560196876526,0.8493260741233826,nan,nan,1.7323741912841797,1.70939040184021,nan,nan,1.7033120393753052,1.6986521482467651,nan,nan,0.5379365086555481,0.5379369854927063,2.7033042907714844,2.6986517906188965,2.7033119201660156,nan
LOL-v2,Real_captured,00694.png,240000,0,0.9905534982681274,0.999998927116394,0.8442215323448181,0.8299762010574341,0.8442215323448181,0.8299762010574341,nan,nan,1.7069791555404663,1.666290283203125,nan,nan,1.6884430646896362,1.6599524021148682,nan,nan,0.7365469932556152,0.736547589302063,2.688443183898926,2.659952402114868,2.688443183898926,nan
LOL-v2,Real_captured,00695.png,240000,0,0.99031001329422,0.999998927116394,0.8441076278686523,0.8303411602973938,0.8441076278686523,0.8303411602973938,nan,nan,1.7072352170944214,1.6669237613677979,nan,nan,1.6882152557373047,1.6606823205947876,nan,nan,0.7260479927062988,0.7260485291481018,2.6882152557373047,2.660682201385498,2.6882152557373047,nan
LOL-v2,Real_captured,00696.png,239973,0,0.9555152058601379,0.9991428852081299,0.8270236253738403,0.8471475839614868,0.8270671367645264,0.8471556901931763,nan,nan,1.7402801513671875,1.7466727495193481,nan,nan,1.6541342735290527,1.6943113803863525,nan,nan,0.3371240794658661,0.3371243178844452,2.6540472507476807,2.6942951679229736,2.6541342735290527,nan
LOL-v2,Real_captured,00697.png,239973,0,0.9553491473197937,0.9991689920425415,0.8271815776824951,0.8475744724273682,0.8272258639335632,0.8475823998451233,nan,nan,1.740945816040039,1.7474642992019653,nan,nan,1.6544517278671265,1.6951647996902466,nan,nan,0.33218440413475037,0.33218464255332947,2.6543631553649902,2.6951489448547363,2.654451608657837,nan
LOL-v2,Real_captured,00698.png,239620,286,0.9850477576255798,0.9988445043563843,0.8277918696403503,0.8251090049743652,0.8288697004318237,0.8252534866333008,0.0838344544172287,0.06945490837097168,1.6850005388259888,1.68208909034729,0.1676689088344574,0.13890981674194336,1.6577394008636475,1.6505069732666016,0.1676689088344574,0.13890981674194336,0.848935067653656,0.8489360809326172,2.6555838584899902,2.6502180099487305,2.6577394008636475,1.1676689386367798
LOL-v2,Real_captured,00699.png,239620,280,0.985222578048706,0.9988294243812561,0.8283001184463501,0.8259238004684448,0.8293789029121399,0.8260765075683594,0.08201861381530762,0.06503379344940186,1.6857166290283203,1.6834862232208252,0.16403722763061523,0.1300675868988037,1.6587578058242798,1.6521530151367188,0.16403722763061523,0.1300675868988037,0.8551339507102966,0.8551349639892578,2.6566002368927,2.6518476009368896,2.6587576866149902,1.1640372276306152
