quantity,mean,median
Sigmoid tapetum response T(x),0.9802611815929413,0.9999573230743408
Darkness-regulated response Td(x)=D(x)*T(x),0.8323136240243911,0.8475429713726044
Td(x) in dark regions,0.8331703558564186,0.8475469350814819
Td(x) in bright regions,0.12863695115915366,0.11443161964416504
Lambda(x) in dark regions,1.7024837112426758,1.7092090249061584
Lambda(x) in bright regions,0.2572739023183073,0.22886323928833008
Effective boost Lambda(x)*T(x) in dark regions,1.6663407117128373,1.6950938701629639
Effective boost Lambda(x)*T(x) in bright regions,0.2572739023183073,0.22886323928833008
"Corr.(Td(x), darkness)",0.8058813683781773,0.9349419474601746
"Corr.(Lambda(x)*T(x), darkness)",0.8058823879668489,0.9349430203437805
