dataset,dataset_variant,file,ablation_variant,psnr,ssim,lpips,lpips_resize
LOL-v2,Synthetic,r00816405t.png,full,28.193476859848154,0.9653388261795044,0.030080780386924744,0.024135097861289978
LOL-v2,Synthetic,r00816405t.png,retinex_base_only,10.578469801686587,0.5447604656219482,0.20591482520103455,0.19026917219161987
LOL-v2,Synthetic,r00816405t.png,without_residual_refinement,19.455462040249614,0.9197972416877747,0.047768060117959976,0.038306351751089096
LOL-v2,Synthetic,r00816405t.png,without_tapetum_update,12.582915647364688,0.6879474520683289,0.1823708862066269,0.16718733310699463
LOL-v2,Synthetic,r00816405t.png,without_attention_modulation,28.193468187932304,0.9653387665748596,0.03008079156279564,0.024135150015354156
LOL-v2,Synthetic,r00816405t.png,without_spatial_amplification,10.927195473792883,0.564128577709198,0.2155337780714035,0.21103475987911224
LOL-v2,Synthetic,r00816405t.png,without_high_frequency_cue,28.191816503732344,0.9653032422065735,0.030310997739434242,0.02440796047449112
LOL-v2,Synthetic,r00816405t.png,without_darkness_gate,23.545364495886467,0.9480404853820801,0.0545123815536499,0.04343924671411514
LOL-v2,Synthetic,r00869422t.png,full,28.278567447234742,0.9117896556854248,0.06686414778232574,0.059145912528038025
LOL-v2,Synthetic,r00869422t.png,retinex_base_only,12.865561203478329,0.49455761909484863,0.17111919820308685,0.1765112280845642
LOL-v2,Synthetic,r00869422t.png,without_residual_refinement,20.18915246898727,0.820194661617279,0.08140980452299118,0.07613454759120941
LOL-v2,Synthetic,r00869422t.png,without_tapetum_update,15.040056190557987,0.6710739731788635,0.15351064503192902,0.15678086876869202
LOL-v2,Synthetic,r00869422t.png,without_attention_modulation,28.278566426830153,0.91178959608078,0.06686411798000336,0.059145860373973846
LOL-v2,Synthetic,r00869422t.png,without_spatial_amplification,13.322738240093255,0.49784767627716064,0.16408339142799377,0.16977661848068237
LOL-v2,Synthetic,r00869422t.png,without_high_frequency_cue,28.28463629088632,0.9122076034545898,0.06674452126026154,0.058768078684806824
LOL-v2,Synthetic,r00869422t.png,without_darkness_gate,22.905225331037627,0.877665638923645,0.08011692017316818,0.07585657387971878
LOL-v2,Synthetic,r00879054t.png,full,25.359881480624296,0.941085696220398,0.05669959634542465,0.05444274842739105
LOL-v2,Synthetic,r00879054t.png,retinex_base_only,9.74525455942333,0.6394863724708557,0.2951354682445526,0.298107773065567
LOL-v2,Synthetic,r00879054t.png,without_residual_refinement,18.542534742211867,0.888033390045166,0.096982941031456,0.09622672200202942
LOL-v2,Synthetic,r00879054t.png,without_tapetum_update,11.551042393643225,0.769376277923584,0.24116696417331696,0.2359342873096466
LOL-v2,Synthetic,r00879054t.png,without_attention_modulation,25.359881480624296,0.941085696220398,0.056699469685554504,0.05444240942597389
LOL-v2,Synthetic,r00879054t.png,without_spatial_amplification,10.68589454531283,0.7147728204727173,0.26969045400619507,0.26647353172302246
LOL-v2,Synthetic,r00879054t.png,without_high_frequency_cue,25.360231312646206,0.9411072134971619,0.05662460997700691,0.05438680946826935
LOL-v2,Synthetic,r00879054t.png,without_darkness_gate,19.140490820094985,0.9137662053108215,0.1217321902513504,0.1300543248653412
LOL-v2,Synthetic,r01058910t.png,full,12.574279855814465,0.8478591442108154,0.10670380294322968,0.11284126341342926
LOL-v2,Synthetic,r01058910t.png,retinex_base_only,26.13508150730434,0.980464518070221,0.0184033066034317,0.017950493842363358
LOL-v2,Synthetic,r01058910t.png,without_residual_refinement,12.922532976838276,0.8714273571968079,0.08070467412471771,0.08055492490530014
LOL-v2,Synthetic,r01058910t.png,without_tapetum_update,31.63536585460224,0.9832691550254822,0.02020055055618286,0.020690949633717537
LOL-v2,Synthetic,r01058910t.png,without_attention_modulation,12.574277514486308,0.8478590846061707,0.10670380294322968,0.11284127831459045
