dataset,dataset_variant,filename,dark_pixels,bright_pixels,T_mean,T_median,Td_mean,Td_median,Td_dark_mean,Td_dark_median,Td_bright_mean,Td_bright_median,lambda_dark_mean,lambda_dark_median,lambda_bright_mean,lambda_bright_median,boost_dark_mean,boost_dark_median,boost_bright_mean,boost_bright_median,corr_Td_darkness,corr_boost_darkness,gain_mean,gain_median,gain_dark_mean,gain_bright_mean
LOL-v2,Synthetic,r00816405t.png,144317,1046,0.9999998807907104,1.0,0.732744574546814,0.7401896715164185,0.742673397064209,0.7414101958274841,0.08214794099330902,0.07095479965209961,0.9654755592346191,0.963833212852478,0.10679232329130173,0.09224123507738113,0.96547532081604,0.963833212852478,0.10679232329130173,0.09224123507738113,0.9999985098838806,0.9999988675117493,1.9525679349899292,1.9622465372085571,1.96547532081604,1.1067923307418823
LOL-v2,Synthetic,r00869422t.png,142121,1587,0.9999998807907104,1.0,0.7787262201309204,0.8015583753585815,0.79676353931427,0.8038234710693359,0.08618343621492386,0.07683873176574707,1.0357928276062012,1.0449705123901367,0.11203846335411072,0.09989035129547119,1.035792589187622,1.0449705123901367,0.11203846335411072,0.09989035129547119,0.9999991059303284,0.9999992251396179,2.0123441219329834,2.0420258045196533,2.035792589187622,1.112038493156433
LOL-v2,Synthetic,r00879054t.png,121294,652,0.9999998807907104,1.0,0.6496113538742065,0.6986788511276245,0.7134893536567688,0.7123360633850098,0.16590002179145813,0.19288098812103271,0.9275363683700562,0.9260368347167969,0.21567003428936005,0.2507452666759491,0.9275362491607666,0.9260368347167969,0.21567003428936005,0.2507452666759491,0.9999995827674866,0.9999997019767761,1.8444945812225342,1.9082825183868408,1.927536129951477,1.215669870376587
LOL-v2,Synthetic,r01058910t.png,39974,29718,0.9999998807907104,1.0,0.3721804916858673,0.3126203417778015,0.6521989107131958,0.6380891799926758,0.1455138474702835,0.13956725597381592,0.8478590846061707,0.8295158743858337,0.1891680210828781,0.1814374327659607,0.8478586077690125,0.8295158743858337,0.1891680210828781,0.1814374327659607,0.9999997019767761,0.9999997019767761,1.4838346242904663,1.4064064025878906,1.8478585481643677,1.189167857170105
LOL-v2,Synthetic,r01170470t.png,101595,550,0.9999998807907104,1.0,0.6081809997558594,0.6623498201370239,0.7189684510231018,0.7369133234024048,0.08610983192920685,0.06765425205230713,0.9346590638160706,0.9579873085021973,0.11194279044866562,0.08795052766799927,0.9346588850021362,0.9579873085021973,0.11194279044866562,0.08795052766799927,0.9999998211860657,0.9999997019767761,1.790635347366333,1.8610546588897705,1.9346588850021362,1.1119427680969238
LOL-v2,Synthetic,r01474187t.png,84638,18629,0.9999998807907104,1.0,0.4834108054637909,0.5351353883743286,0.6201364994049072,0.6211531162261963,0.057402849197387695,0.02793222665786743,0.8061774373054504,0.8074990510940552,0.07462377846240997,0.03631189465522766,0.8061774373054504,0.8074990510940552,0.0746237114071846,0.03631189465522766,0.9999998211860657,0.9999998807907104,1.6284339427947998,1.6956759691238403,1.8061774969100952,1.074623703956604
LOL-v2,Synthetic,r0150031ft.png,140927,1012,0.9999998807907104,1.0,0.7181009650230408,0.7366330027580261,0.7353885769844055,0.7397395372390747,0.08070586621761322,0.07020461559295654,0.956005334854126,0.961662232875824,0.10491762310266495,0.09126599878072739,0.9560050964355469,0.9616613388061523,0.10491762310266495,0.09126599878072739,0.9999989867210388,0.9999992847442627,1.9335312843322754,1.9576228857040405,1.9560052156448364,1.1049176454544067
LOL-v2,Synthetic,r01559391t.png,140727,4578,0.9999998807907104,1.0,0.7891457080841064,0.8104049563407898,0.8195556998252869,0.81758713722229,0.06814417243003845,0.05056554079055786,1.065422534942627,1.0628632307052612,0.08858741074800491,0.06573519855737686,1.0654222965240479,1.0628632307052612,0.08858741074800491,0.06573519855737686,0.9999995231628418,0.9999995827674866,2.0258893966674805,2.0535264015197754,2.065422296524048,1.0885874032974243
LOL-v2,Synthetic,r02189767t.png,137575,3368,0.9999998807907104,1.0,0.7564505934715271,0.7656435370445251,0.7906929850578308,0.7777780890464783,0.10685733705759048,0.11392050981521606,1.02790105342865,1.0111114978790283,0.13891451060771942,0.14809665083885193,1.0279008150100708,1.0111114978790283,0.13891451060771942,0.14809665083885193,0.9999996423721313,0.9999997019767761,1.983385682106018,1.9953365325927734,2.0279009342193604,1.1389145851135254
LOL-v2,Synthetic,r02354285t.png,110167,30939,0.9999998807907104,1.0,0.6245537996292114,0.7855827808380127,0.8024924993515015,0.8054749965667725,0.05557824298739433,0.03958696126937866,1.0432401895523071,1.0471174716949463,0.07225173711776733,0.0514630489051342,1.0432401895523071,1.0471174716949463,0.07225171476602554,0.0514630489051342,0.9999999403953552,0.9999998807907104,1.811919927597046,2.0212574005126953,2.0432400703430176,1.072251796722412
LOL-v2,Synthetic,r02508493t.png,144787,993,0.9999998807907104,1.0,0.753472626209259,0.7661160826683044,0.7627344131469727,0.7678192853927612,0.05772196501493454,0.038156867027282715,0.9915549755096436,0.9981657862663269,0.07503855228424072,0.04960392415523529,0.9915547370910645,0.9981650114059448,0.07503855228424072,0.04960392415523529,0.9999986886978149,0.9999990463256836,1.9795143604278564,1.9959508180618286,1.9915547370910645,1.0750386714935303
LOL-v2,Synthetic,r0287344at.png,93116,14504,0.9999998807907104,1.0,0.5697858929634094,0.6562808156013489,0.7434895038604736,0.7516621351242065,0.11422598361968994,0.13560235500335693,0.966536283493042,0.9771607518196106,0.14849381148815155,0.176283061504364,0.966536283493042,0.9771607518196106,0.14849378168582916,0.176283061504364,0.9999998807907104,0.9999998211860657,1.740721583366394,1.8531650304794312,1.9665364027023315,1.1484936475753784
