quantity,mean,median
Sigmoid tapetum response T(x),0.8288005753358205,0.9998804926872253
Darkness-regulated response Td(x)=D(x)*T(x),0.6327176016569137,0.7022159993648529
Td(x) in dark regions,0.6431912922859192,0.7025677859783173
Td(x) in bright regions,0.09496107093385749,0.09477485716342926
Lambda(x) in dark regions,1.0549791292349497,1.030674159526825
Lambda(x) in bright regions,0.20824811748556188,0.21507419645786285
Effective boost Lambda(x)*T(x) in dark regions,0.8683082695802052,0.9484665095806122
Effective boost Lambda(x)*T(x) in bright regions,0.12819744787506154,0.12794606387615204
"Corr.(Td(x), darkness)",0.436228224777927,0.5561744272708893
"Corr.(Lambda(x)*T(x), darkness)",0.43622837325558067,0.5561745166778564
